song_name,weeks_on_top_chart
What Else Can I Do?,7
When I R.I.P.,5
When I Was Your Man,17
When I’m Alone,1
When I’m Gone (with Katy Perry),3
When You're Gone,9
Where Are You Now,49
Where Did You Go? (feat. MNEK),15
White Christmas,5
Why'd You Only Call Me When You're High?,37
Wild Flower (with youjeen),3
Wildberry Lillet,2
Wildest Dreams (Taylor's Version),1
Winter Wonderland,1
Winter Wonderland - Remastered,2
With you,4
Without Me,52
Woman,49
Wonderful Christmastime - Edited Version / Remastered 2011,5
Worldwide Steppers,1
Worst Day,1
Would've Could've Should've,5
Wrapped Around Your Finger,1
X ÚLTIMA VEZ,20
YUKON (INTERLUDE),2
Ya No Somos Ni Seremos,8
Yeah Yeah Yeah,2
Yellow,52
Yet To Come,8
Yo No Soy Celoso,18
Yo Voy (feat. Daddy Yankee),26
Yonaguni,51
You Make It Feel Like Christmas (feat. Blake Shelton),3
You Proof,2
You Right,25
You're On Your Own Kid,9
ZOOM,6
abcdefu,37
alotta cake,1
attention,1
august,13
ay! (feat. Lil Wayne),1
chaotic,1
cómo dormiste?,15
deja vu,43
die first,1
drivers license,44
edamame (feat. Rich Brian),1
emo girl (feat. WILLOW),2
family ties (with Kendrick Lamar),9
farfalle,1
favorite crime,20
golden hour,18
good 4 u,44
goosebumps,4
happier,37
jealousy jealousy,11
love nwantiti (ah ah ah),25
love nwantiti (feat. Dj Yo! & AX'EL) - Remix,13
lovely (with Khalid),52
make up sex (feat. blackbear),1
maybe (feat. Bring Me The Horizon),2
mop (feat. Young Thug),1
positions,17
psychofreak (feat. WILLOW),2
pushin P (feat. Young Thug),15
s!r! (feat. Lazza & Sfera Ebbasta),1
sentaDONA (Remix) s2,8
she's all i wanna be,24
this is what falling in love feels like,5
thought i was playing,1
traitor,44
uh oh,1
up at night (feat. justin bieber),1
vice city,1
we fell in love in october,5
you broke me first,8
İmdat,2
